Fecha,MemoriaUsadaJVM(bytes)
2020-08-03 03:38:38,124407200
2020-08-03 03:38:48,134457576
2020-08-03 03:38:58,143812248
2020-08-03 03:39:08,129707464
2020-08-03 03:39:18,109730144
2020-08-03 03:39:28,157069104
2020-08-03 03:39:38,149023696
2020-08-03 03:39:48,105648384
2020-08-03 03:39:58,151276552
2020-08-03 03:40:08,147804120
2020-08-03 03:40:18,128044840
2020-08-03 03:40:28,130139448
2020-08-03 03:40:38,115709208
2020-08-03 03:40:48,164472624
2020-08-03 03:40:58,116810848
2020-08-03 03:41:08,158256672
2020-08-03 03:41:18,168218064
2020-08-03 03:41:28,176569008
2020-08-03 03:41:38,141824016
2020-08-03 03:41:48,154337888
2020-08-03 03:41:58,132900432
2020-08-03 03:42:08,154458656
2020-08-03 03:42:18,162957160
2020-08-03 03:42:28,142088496
2020-08-03 03:42:38,63954776
2020-08-03 03:42:48,57759040
2020-08-03 03:42:58,119165808
2020-08-03 03:43:08,77176152
2020-08-03 03:43:18,86896632
2020-08-03 03:43:28,74156944
2020-08-03 03:43:38,97476520
2020-08-03 03:43:48,109753096
2020-08-03 03:43:58,89492288
2020-08-03 03:44:08,61236240
2020-08-03 03:44:18,72308968
2020-08-03 03:44:28,68231144
2020-08-03 03:44:38,119877760
2020-08-03 03:44:48,88495392
2020-08-03 03:44:58,89061360
2020-08-03 03:45:08,102139832
2020-08-03 03:45:18,110880816
2020-08-03 03:45:28,104154352
2020-08-03 03:45:38,63255240
2020-08-03 03:45:48,71796992
2020-08-03 03:45:58,117280400
2020-08-03 03:46:08,95683592
2020-08-03 03:46:18,63248808
2020-08-03 03:46:29,99277624
2020-08-03 03:46:39,119395416
2020-08-03 03:46:49,129204072
2020-08-03 03:46:59,58555728
2020-08-03 03:47:09,59929280
2020-08-03 03:47:19,69491144
2020-08-03 03:47:29,60121000
2020-08-03 03:47:39,70594128
2020-08-03 03:47:49,84414840
2020-08-03 03:47:59,127926520
2020-08-03 03:48:09,61328704
2020-08-03 03:48:19,72818384
2020-08-03 03:48:29,119261464
2020-08-03 03:48:39,119669712
2020-08-03 03:48:49,70941488
2020-08-03 03:48:59,120888664
2020-08-03 03:49:09,63277184
2020-08-03 03:49:19,74474696
2020-08-03 03:49:29,113649832
2020-08-03 03:49:39,65285040
2020-08-03 03:49:49,75740248
2020-08-03 03:49:59,70344824
2020-08-03 03:50:09,84443048
2020-08-03 03:50:19,93133968
2020-08-03 03:50:29,58413224
2020-08-03 03:50:39,100542280
2020-08-03 03:50:49,107264680
2020-08-03 03:50:59,82926168
2020-08-03 03:51:09,100464560
2020-08-03 03:51:19,111801816
2020-08-03 03:51:29,74948432
2020-08-03 03:51:39,55564856
2020-08-03 03:51:49,92679912
2020-08-03 03:51:59,80067152
2020-08-03 03:52:09,91542616
2020-08-03 03:52:19,61527360
2020-08-03 03:52:29,69165512
2020-08-03 03:52:39,129920736
2020-08-03 03:52:49,110336872
2020-08-03 03:52:59,116811616
2020-08-03 03:53:09,86195696
2020-08-03 03:53:19,123692856
2020-08-03 03:53:29,59823952
2020-08-03 03:53:39,61175696
2020-08-03 03:53:49,69832272
2020-08-03 03:53:59,114381472
2020-08-03 03:54:09,90564048
2020-08-03 03:54:19,64198600
2020-08-03 03:54:29,62032824
2020-08-03 03:54:39,106404416
2020-08-03 03:54:49,117812728
2020-08-03 03:54:59,85781744
2020-08-03 03:55:09,62299960
2020-08-03 03:55:19,73691976
2020-08-03 03:55:29,105573992
2020-08-03 03:55:39,106931664
2020-08-03 03:55:49,120009272
2020-08-03 03:55:59,99146368
2020-08-03 03:56:09,139237200
2020-08-03 03:56:19,58582056
2020-08-03 03:56:29,117335752
2020-08-03 03:56:39,87138728
2020-08-03 03:56:49,106527712
2020-08-03 03:56:59,79377608
2020-08-03 03:57:09,138033496
2020-08-03 03:57:19,104286920
2020-08-03 03:57:30,147438088
2020-08-03 03:57:40,134164672
2020-08-03 03:57:50,117900008
2020-08-03 03:58:00,127701128
2020-08-03 03:58:10,97578120
2020-08-03 03:58:20,65283680
2020-08-03 03:58:30,129406192
2020-08-03 03:58:40,136422592
2020-08-03 03:58:50,58553072
2020-08-03 03:59:00,95750648
2020-08-03 03:59:10,116113288
2020-08-03 03:59:20,128958520
2020-08-03 03:59:30,102623616
2020-08-03 03:59:40,119047408
2020-08-03 03:59:50,137841840
2020-08-03 04:00:00,119001384
2020-08-03 04:00:10,131126368
2020-08-03 04:00:20,140600584
2020-08-03 04:00:30,141944744
2020-08-03 04:00:40,143287080
2020-08-03 04:00:50,67672968
2020-08-03 04:01:00,126530432
2020-08-03 04:01:10,107537904
2020-08-03 04:01:20,137893256
2020-08-03 04:01:30,134425776
2020-08-03 04:01:40,86310688
2020-08-03 04:01:50,134229552
2020-08-03 04:02:00,103389448
2020-08-03 04:02:10,79950472
2020-08-03 04:02:20,58674888
2020-08-03 04:02:30,87303608
2020-08-03 04:02:40,73725952
2020-08-03 04:02:50,130158712
2020-08-03 04:03:00,136657544
2020-08-03 04:03:10,62164304
2020-08-03 04:03:20,83550464
2020-08-03 04:03:30,65686152
2020-08-03 04:03:40,90209344
2020-08-03 04:03:50,116673200
2020-08-03 04:04:00,79751944
2020-08-03 04:04:10,91126344
2020-08-03 04:04:20,101534000
2020-08-03 04:04:30,67437152
2020-08-03 04:04:40,87068952
2020-08-03 04:04:50,97794840
2020-08-03 04:05:00,140759008
2020-08-03 04:05:10,99134936
2020-08-03 04:05:20,75064712
2020-08-03 04:05:30,84371144
2020-08-03 04:05:40,113566000
2020-08-03 04:05:50,126348568
2020-08-03 04:06:00,100032232
2020-08-03 04:06:10,67831688
2020-08-03 04:06:20,124361808
2020-08-03 04:06:30,96851016
2020-08-03 04:06:40,103671488
2020-08-03 04:06:50,119490840
2020-08-03 04:07:00,77808920
2020-08-03 04:07:10,86618648
2020-08-03 04:07:20,112765000
2020-08-03 04:07:30,84150056
2020-08-03 04:07:40,130765032
2020-08-03 04:07:50,142954912
2020-08-03 04:08:00,103111808
2020-08-03 04:08:10,89728296
2020-08-03 04:08:21,154287416
2020-08-03 04:08:31,127279376
2020-08-03 04:08:41,128648016
2020-08-03 04:08:51,143761032
2020-08-03 04:09:01,107232912
2020-08-03 04:09:11,66818864
2020-08-03 04:09:21,109186920
2020-08-03 04:09:31,73304616
2020-08-03 04:09:41,137526360
2020-08-03 04:09:51,99846208
2020-08-03 04:10:01,98404424
