Fecha,CPU_Load,Memory_Used,Free_Memory
2020-08-03 00:35:11,0,43.05,2026
2020-08-03 00:35:21,0,43,2028
2020-08-03 00:35:31,0,42.97,2029
2020-08-03 00:35:41,0,42.94,2030
2020-08-03 00:35:51,0,42.88,2032
2020-08-03 00:36:11,0,42.85,2033
2020-08-03 00:36:21,2,42.84,2034
2020-08-03 00:36:41,0,42.85,2033
2020-08-03 00:36:51,0,42.84,2034
2020-08-03 00:37:01,10,42.89,2033
2020-08-03 00:37:11,0,42.86,2033
2020-08-03 00:37:21,4,42.86,2033
2020-08-03 00:37:31,0,42.83,2034
2020-08-03 00:37:41,0,42.82,2034
2020-08-03 00:37:51,0,42.86,2034
2020-08-03 00:38:01,0,42.82,2034
2020-08-03 00:38:11,0,42.82,2034
2020-08-03 00:38:21,2,42.82,2035
2020-08-03 00:38:31,0,42.82,2034
2020-08-03 00:38:41,0,42.82,2034
2020-08-03 00:38:51,0,42.78,2036
2020-08-03 00:39:01,0,42.77,2036
2020-08-03 00:39:11,0,42.77,2036
2020-08-03 00:39:21,0,42.78,2036
2020-08-03 00:39:31,0,42.76,2036
2020-08-03 00:39:41,0,43.12,2033
2020-08-03 00:39:51,0,42.76,2036
2020-08-03 00:40:01,0,42.75,2037
2020-08-03 00:40:11,0,42.76,2037
2020-08-03 00:40:21,4,42.73,2037
2020-08-03 00:40:31,0,42.74,2038
2020-08-03 00:40:41,0,42.75,2037
2020-08-03 00:40:51,4,42.69,2039
2020-08-03 00:41:01,0,42.66,2040
2020-08-03 00:41:11,0,42.66,2040
2020-08-03 00:41:31,0,42.66,2040
2020-08-03 00:41:41,0,42.65,2041
2020-08-03 00:41:51,0,42.65,2041
2020-08-03 00:42:01,0,42.67,2040
2020-08-03 00:42:11,0,42.65,2041
2020-08-03 00:42:21,2,42.6,2042
2020-08-03 00:42:31,2,42.62,2042
2020-08-03 00:42:41,0,42.63,2042
2020-08-03 00:42:51,4,42.59,2042
2020-08-03 00:43:01,0,42.6,2042
2020-08-03 00:43:11,0,42.62,2042
2020-08-03 00:43:21,0,42.72,2038
2020-08-03 00:43:31,2,42.71,2038
2020-08-03 00:43:41,0,42.73,2038
2020-08-03 00:43:51,0,42.74,2038
2020-08-03 00:44:01,0,42.74,2038
2020-08-03 00:44:21,2,42.71,2039
2020-08-03 00:44:41,0,42.73,2038
2020-08-03 00:44:51,5,43.06,2026
2020-08-03 00:45:01,0,42.76,2037
2020-08-03 00:45:11,0,42.75,2037
2020-08-03 00:45:21,2,42.74,2038
2020-08-03 00:45:31,0,42.71,2038
2020-08-03 00:45:41,0,42.72,2038
2020-08-03 00:45:51,0,42.71,2039
2020-08-03 00:46:01,0,42.69,2039
2020-08-03 00:46:11,0,42.7,2039
2020-08-03 00:46:21,0,42.66,2040
2020-08-03 00:46:31,0,42.66,2040
2020-08-03 00:46:41,0,42.71,2040
2020-08-03 00:46:51,0,42.68,2040
2020-08-03 00:47:01,7,42.64,2040
2020-08-03 00:47:11,0,42.68,2040
2020-08-03 00:47:21,0,42.66,2040
2020-08-03 00:47:31,0,42.68,2040
2020-08-03 00:47:41,0,42.65,2041
2020-08-03 00:47:51,0,42.66,2041
2020-08-03 00:48:01,0,42.67,2040
2020-08-03 00:48:11,0,42.68,2040
2020-08-03 00:48:21,4,42.6,2043
2020-08-03 00:48:41,0,42.6,2042
2020-08-03 00:48:51,5,42.61,2043
2020-08-03 00:49:01,0,42.59,2043
2020-08-03 00:49:11,0,42.59,2042
2020-08-03 00:49:21,2,42.62,2042
2020-08-03 00:49:31,0,42.62,2042
2020-08-03 00:49:41,0,42.6,2042
2020-08-03 00:49:51,0,42.62,2042
2020-08-03 00:50:01,0,42.95,2030
2020-08-03 00:50:11,0,42.6,2042
2020-08-03 00:50:21,4,42.62,2042
2020-08-03 00:50:31,0,42.62,2042
2020-08-03 00:50:41,0,42.62,2042
2020-08-03 00:50:51,5,42.62,2042
2020-08-03 00:51:01,0,42.62,2042
2020-08-03 00:51:11,0,42.6,2042
2020-08-03 00:51:21,0,42.62,2042
2020-08-03 00:51:31,2,42.64,2041
2020-08-03 00:51:41,0,42.65,2041
2020-08-03 00:51:51,4,42.65,2041
2020-08-03 00:52:01,4,42.65,2041
2020-08-03 00:52:31,0,42.66,2040
2020-08-03 00:52:41,0,42.67,2040
2020-08-03 00:52:51,2,42.66,2041
2020-08-03 00:53:01,0,42.65,2041
2020-08-03 00:53:11,0,42.67,2040
2020-08-03 00:53:21,0,42.67,2040
2020-08-03 00:53:41,0,42.64,2041
2020-08-03 00:53:51,2,42.65,2041
2020-08-03 00:54:01,0,42.66,2040
2020-08-03 00:54:11,0,42.65,2041
2020-08-03 00:54:21,4,42.65,2041
2020-08-03 00:54:31,2,42.64,2041
2020-08-03 00:54:41,0,42.65,2041
2020-08-03 00:54:51,0,42.66,2041
2020-08-03 00:55:01,2,42.66,2041
2020-08-03 00:55:11,0,42.96,2029
2020-08-03 00:55:31,0,42.65,2041
2020-08-03 00:55:41,0,42.68,2040
2020-08-03 00:55:51,0,42.71,2039
2020-08-03 00:56:01,0,42.7,2039
2020-08-03 00:56:11,0,42.7,2039
2020-08-03 00:56:21,0,42.7,2039
2020-08-03 00:56:31,2,42.69,2039
2020-08-03 00:56:51,0,42.69,2040
2020-08-03 00:57:01,0,42.69,2040
2020-08-03 00:57:11,0,42.73,2038
2020-08-03 00:57:21,4,42.69,2039
2020-08-03 00:57:31,0,42.71,2039
2020-08-03 00:57:41,0,42.67,2039
2020-08-03 00:57:51,2,42.69,2039
2020-08-03 00:58:01,13,42.7,2039
2020-08-03 00:58:11,0,42.7,2039
2020-08-03 00:58:21,0,42.37,2051
2020-08-03 00:58:31,2,42.36,2051
2020-08-03 00:58:41,0,42.38,2050
2020-08-03 00:58:51,0,42.37,2051
2020-08-03 00:59:01,0,42.36,2051
2020-08-03 00:59:11,0,42.37,2051
2020-08-03 00:59:21,0,42.42,2049
2020-08-03 00:59:31,0,42.4,2049
2020-08-03 00:59:41,0,42.42,2049
2020-08-03 00:59:51,0,42.41,2049
2020-08-03 01:00:01,0,42.44,2048
2020-08-03 01:00:11,0,42.42,2049
2020-08-03 01:00:21,11,42.77,2036
2020-08-03 01:00:31,0,42.46,2048
2020-08-03 01:00:41,0,42.45,2047
2020-08-03 01:00:51,0,42.5,2047
2020-08-03 01:01:01,0,42.48,2047
2020-08-03 01:01:11,0,42.49,2047
2020-08-03 01:01:21,0,42.5,2046
2020-08-03 01:01:31,0,42.5,2046
2020-08-03 01:01:41,0,42.48,2047
2020-08-03 01:01:51,2,42.48,2047
2020-08-03 01:02:01,0,42.53,2045
2020-08-03 01:02:11,0,42.55,2045
2020-08-03 01:02:31,0,42.5,2046
2020-08-03 01:02:41,0,42.51,2045
2020-08-03 01:02:51,2,42.5,2046
2020-08-03 01:03:01,0,42.49,2046
2020-08-03 01:03:11,0,42.5,2046
2020-08-03 01:03:21,4,42.51,2045
2020-08-03 01:03:31,0,42.52,2045
2020-08-03 01:03:41,0,42.51,2045
2020-08-03 01:04:01,0,42.53,2045
2020-08-03 01:04:11,0,42.52,2045
2020-08-03 01:04:21,4,42.52,2045
2020-08-03 01:04:31,0,42.63,2041
2020-08-03 01:04:41,0,42.92,2031
2020-08-03 01:04:51,5,42.93,2032
2020-08-03 01:05:01,0,42.9,2032
2020-08-03 01:05:11,0,42.88,2032
2020-08-03 01:05:21,2,42.87,2033
2020-08-03 01:05:31,0,42.87,2033
2020-08-03 01:05:41,0,42.86,2033
2020-08-03 01:05:51,0,42.87,2033
2020-08-03 01:06:01,0,42.89,2032
2020-08-03 01:06:11,0,42.88,2032
2020-08-03 01:06:21,0,42.87,2033
2020-08-03 01:06:31,0,42.88,2033
2020-08-03 01:06:41,0,42.66,2041
2020-08-03 01:06:51,0,42.63,2042
2020-08-03 01:07:01,0,42.63,2042
2020-08-03 01:07:11,0,42.63,2042
2020-08-03 01:07:21,0,42.59,2043
2020-08-03 01:07:41,0,42.59,2043
2020-08-03 01:07:51,0,42.59,2043
2020-08-03 01:08:01,0,42.61,2042
2020-08-03 01:08:11,0,42.59,2043
2020-08-03 01:08:21,0,42.61,2043
2020-08-03 01:08:31,0,42.6,2043
2020-08-03 01:08:41,0,42.6,2042
2020-08-03 01:08:51,4,42.61,2043
2020-08-03 01:09:01,0,42.61,2043
2020-08-03 01:09:11,0,42.6,2042
2020-08-03 01:09:21,2,42.65,2041
2020-08-03 01:09:31,0,42.67,2041
2020-08-03 01:09:41,0,42.66,2041
2020-08-03 01:09:51,7,42.66,2041
2020-08-03 01:10:01,0,42.66,2040
2020-08-03 01:10:11,0,42.66,2040
2020-08-03 01:10:21,2,42.63,2041
2020-08-03 01:10:31,2,42.71,2039
2020-08-03 01:10:41,0,42.66,2040
2020-08-03 01:10:51,2,42.67,2040
2020-08-03 01:11:01,0,42.68,2040
2020-08-03 01:11:11,0,42.66,2040
2020-08-03 01:11:21,0,42.69,2040
2020-08-03 01:11:31,0,42.71,2039
2020-08-03 01:11:51,2,42.68,2040
2020-08-03 01:12:01,0,42.67,2040
2020-08-03 01:12:11,0,42.69,2040
2020-08-03 01:12:21,2,42.66,2040
2020-08-03 01:12:31,0,42.67,2040
2020-08-03 01:12:41,0,42.65,2041
